AccX,AccY,AccZ
-9.959879 , -7.0485296 , 3.6391866
-9.844957 , -6.7803793 , 3.4093432
-10.572795 , -6.9719152 , 2.873042
-11.33894 , -8.465898 , 1.4939818
-10.342952 , -8.312668 , 0.6512229
-9.002198 , -8.887277 , 0.4213795
-7.8529816 , -8.42759 , 0.4213795
-6.7803793 , -6.397307 , 2.1452048
-6.205771 , -5.93762 , 3.4859576
-4.4819455 , -5.66947 , 2.2601264
-5.554548 , -6.244078 , 1.6472107
-7.6614456 , -7.3549876 , 2.6048915
-8.312668 , -8.42759 , 3.1028855
-6.397307 , -9.002198 , 2.1068976
-5.363012 , -8.159439 , 0.7661445
-4.673482 , -7.6231384 , -0.30645782
-3.9073372 , -7.469909 , -1.0726024
-3.7924154 , -7.5848308 , -0.5746084
-4.213795 , -7.8529816 , 0.38307226
-4.865018 , -4.903325 , 0.4213795
-2.6431987 , -4.711789 , 0.6895301
-2.7964275 , -5.094861 , 0.22984336
-4.2904096 , -5.171476 , -0.5363012
-4.7884035 , -5.094861 , -0.2681506
-5.2480903 , -4.7884035 , 0.61291564
-7.2783732 , -4.5202527 , 1.4556746
-13.292608 , -4.3287168 , 3.1794999
-14.326903 , -4.8267107 , 4.9416323
-12.411542 , -6.244078 , 5.554548
-10.113108 , -8.236053 , 3.715801
-9.232041 , -10.189722 , -3.4093432
-9.883265 , -11.951855 , -2.834735
-8.734048 , -12.181698 , -1.1875241
-13.369223 , -11.760319 , -0.7661445
-11.568783 , -10.726024 , 2.336741
2.9496565 , -10.955867 , 0.5746084
1.6472107 , -13.905523 , -1.6472107
-0.9959879 , -15.629349 , -5.899313
-1.7238252 , -9.768343 , -2.4133554
-1.4939818 , -11.453861 , -3.7924154
-4.596867 , -12.220005 , -4.4436383
-3.371036 , -8.389283 , -5.133168
-5.5162406 , -9.232041 , -3.4093432
-6.742072 , -12.29662 , -6.8569937
-2.528277 , -10.955867 , -8.0445175
-4.6351743 , -6.167464 , -3.0262709
-4.213795 , -5.2863975 , 0.0
-4.367024 , -5.7843914 , -0.38307226
-7.6614456 , -3.715801 , -2.4899697
-3.9073372 , -3.2944214 , 0.076614454
-2.3750482 , -1.6089035 , -0.49799395
-3.1028855 , -2.2218192 , 1.3024458
-3.4859576 , -1.0342951 , 0.30645782
-0.8810662 , -0.9959879 , -0.4213795
-2.336741 , -1.7238252 , -1.6472107
-1.9919758 , -0.38307226 , -1.4556746
-5.592855 , -1.340753 , -1.4939818
-5.899313 , -1.3024458 , -1.4556746
-7.1251445 , -2.1452048 , -1.7238252
-7.469909 , -3.6774938 , -5.171476
-9.423578 , -2.4899697 , -7.086837
-8.197746 , -3.7541082 , -3.5625722
-9.461885 , -4.596867 , -1.8387469
-12.220005 , -6.205771 , 4.6351743
-9.576807 , -7.0102224 , -0.61291564
-9.959879 , -6.588843 , -3.371036
-7.776367 , -5.9759274 , -3.7541082
-13.177686 , -7.776367 , 3.0262709
-11.109096 , -8.772355 , 1.1109096
