motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ
0.8925941 , -1.974918 , 1.372445
0.5655057 , -0.5747122 , 0.3175418
-0.6321872 , 0.9899123 , -2.632118
-0.05387552 , 0.03636117 , -0.4657704
0.7596168 , -1.215176 , 2.918219
-3.024955 , 0.5343888 , -1.445737
0.4548556 , 0.02093358 , 1.679747
-0.6886107 , 0.441334 , 0.4505714
-0.3046246 , 0.8129234 , 0.6107482
-0.03051004 , 1.064391 , 0.5092022
-0.0452873 , 2.19422 , -0.9606917
-0.5088911 , 0.5548843 , -1.231943
0.3253706 , -0.07791311 , -1.212102
1.126774 , -0.4935551 , -1.145687
1.543775 , 0.3021154 , -1.144216
0.2471833 , -0.6718702 , -0.7085131
0.1679051 , -0.9030626 , -0.3383211
0.5509056 , 0.4300343 , -0.1714291
0.30742 , 0.8986182 , -0.2859289
-1.216183 , 1.369232 , 0.08926869
-0.376605 , 2.026556 , -0.1148751
-0.1948526 , 2.077229 , -0.02598082
0.1341818 , 0.4995347 , 0.4759999
0.1509512 , -0.4428964 , 0.7973933
0.3881124 , -1.426512 , 1.238268
0.5765525 , -1.9038 , 1.483891
0.3709685 , -0.8453237 , 0.4354807
-0.5881192 , 0.2541169 , -2.236544
0.7440108 , -0.2201866 , -0.01020952
-1.318209 , 0.7338353 , 1.062779
-0.310328 , 0.779675 , 0.6289096
0.1281195 , -0.2723762 , 2.116549
-2.085594 , 1.530838 , -0.4460258
0.203472 , 1.000996 , 0.9115809
0.2539314 , 1.870232 , -0.1041535
-0.3293269 , 1.03915 , -0.9723134
-0.735872 , 0.1972132 , -1.143196
0.05039999 , -0.3358406 , -1.118253
1.33747 , 0.1747902 , -1.194817
1.035729 , -0.05102298 , -1.033478
0.2390593 , -0.856227 , -0.4410416
0.8579696 , -0.2401111 , -0.2335361
0.7509881 , 0.1726943 , -0.08977673
-1.214318 , 1.752135 , 0.07605284
-1.49081 , 0.7134027 , -0.2209177
-1.3658 , 1.429824 , -0.09612022
-0.0527259 , 1.435455 , 0.09352126
0.1894336 , 1.02332 , 0.1067424
0.4397275 , -0.2814069 , 0.8686987
0.5190822 , -1.091101 , 1.02124
0.7841368 , -1.672567 , 0.9985959
1.088292 , -0.7390071 , 0.8058953
-0.3783987 , 0.07689652 , -2.040737
-0.4373281 , -0.144351 , -1.024725
0.2135505 , -0.5868314 , -0.1819938
-0.4261682 , 0.6441733 , 1.611445
1.135765 , -1.046077 , 1.777908
0.3328317 , 0.7045548 , 1.321397
0.04977654 , 1.775054 , 0.2376655
-0.03643139 , 0.879815 , 0.1936136
-0.69952 , 1.077945 , -0.6899706
-0.8340074 , 0.316688 , -1.065693
0.3416213 , -0.6545544 , -0.9653121
0.8820027 , -0.7373327 , -0.9377117
0.6383606 , -0.2023757 , -0.6970184
0.0108597 , -0.8289948 , -0.5955781
-0.1218326 , -0.9923354 , -0.3961491
0.5670153 , 0.7887546 , 0.1707604
0.5277981 , 2.621323 , 0.4001107
0.03729969 , 1.094261 , -0.09736678
-1.190777 , 1.480499 , 0.3338251
1.189351 , 2.708276 , 0.3538716
-0.131139 , 1.615889 , 0.7716364
-0.1388279 , 0.2037658 , 0.9412345
-0.09495812 , -1.626663 , 1.077924
-0.3228086 , -2.061006 , 1.3479
-0.1005941 , -1.15189 , 0.7243615
0.07559804 , -0.05336152 , -0.7137417
0.1110447 , 0.6260825 , -2.139868
1.168162 , 0.1421041 , 2.162567
-1.986448 , -0.0601321 , -0.4993566
1.295044 , -1.010939 , 2.355124
0.02473103 , 1.447097 , 0.6188279
0.09895051 , 0.9323696 , 0.6631097
-0.4401287 , 0.7915586 , 1.316529
-0.1654213 , 0.8138344 , -1.288089
0.5736971 , 0.2577985 , -1.257582
0.4928772 , -0.6394255 , -1.255656
1.569253 , 0.09515526 , -0.8979717
0.816425 , -0.5541975 , 0.02321857
0.2736802 , -0.8090486 , -0.1051995
0.1137947 , 0.04393283 , -0.121369
-1.170529 , 2.063473 , 0.692126
-1.356687 , 0.8447948 , 0.2030917
-0.7585885 , 1.23316 , -0.1647546
0.3673479 , 1.089732 , -0.4476173
0.2325532 , 0.5737119 , 0.08834236
0.1472048 , -0.9846116 , 1.247927
0.3419713 , -1.737888 , 1.341603
0.364701 , -2.152341 , 1.42167
0.1009093 , -0.1549264 , 0.1073551
0.08436102 , 1.031006 , -2.050517
0.185842 , -0.4746437 , -0.7520652
-0.5402138 , -0.7687784 , 2.400177
-1.117493 , 0.8082372 , 1.177663
0.8222816 , -0.5884432 , 2.247064
-0.1294969 , 0.5728187 , 0.6932749
0.1288777 , 0.909857 , -0.03900545
0.05555108 , 0.9498616 , 0.06772106
-0.7461674 , 1.077408 , -0.8304086
-0.8295528 , 0.156245 , -1.395324
0.1343296 , -0.02802321 , -1.113389
1.083523 , -0.5594777 , -1.249748
1.142444 , -0.2805995 , -0.5586076
0.1894696 , -0.7490895 , -0.2488203
0.03673928 , -0.8909365 , -0.3289365
0.7316831 , 0.3061003 , 0.2334443
0.6584528 , 2.059021 , 0.3766236
-0.9356458 , 1.626333 , 0.2981087
0.5296426 , 2.300238 , -0.2704316
-0.1922401 , 2.06543 , 0.525796
-0.2991772 , 0.7915327 , 0.719256
-0.05335395 , -0.125798 , 1.048271
0.08906102 , -1.155128 , 1.234987
